categoria,curso,link
Columna 1,Columna 1,https://www.idat.edu.pe/
Columna 1,Office,https://www.idat.edu.pe/
Columna 1,Especialista en Excel,https://www.idat.edu.pe/cursos-de-formacion-continua/microsoft-excel
Columna 1,Ofimática Empresarial,https://www.idat.edu.pe/cursos-de-formacion-continua/ofimatica-empresarial
Columna 1,Ingeniería,https://www.idat.edu.pe/
Columna 1,Electricidad Básica,https://www.idat.edu.pe/cursos-de-formacion-continua/electricidad-basica
Columna 1,Mantenimiento y Reparación de Celulares y Tablets,https://www.idat.edu.pe/cursos-de-formacion-continua/reparacion-de-celulares-y-tablets
Columna 1,Adolescentes,https://www.idat.edu.pe/
Columna 1,Computación para adolescentes,https://www.idat.edu.pe/cursos-de-formacion-continua/computacion-para-adolescentes
Office,Office,https://www.idat.edu.pe/
Office,Especialista en Excel,https://www.idat.edu.pe/cursos-de-formacion-continua/microsoft-excel
Office,Ofimática Empresarial,https://www.idat.edu.pe/cursos-de-formacion-continua/ofimatica-empresarial
Ingeniería,Ingeniería,https://www.idat.edu.pe/
Ingeniería,Electricidad Básica,https://www.idat.edu.pe/cursos-de-formacion-continua/electricidad-basica
Ingeniería,Mantenimiento y Reparación de Celulares y Tablets,https://www.idat.edu.pe/cursos-de-formacion-continua/reparacion-de-celulares-y-tablets
Adolescentes,Adolescentes,https://www.idat.edu.pe/
Adolescentes,Computación para adolescentes,https://www.idat.edu.pe/cursos-de-formacion-continua/computacion-para-adolescentes
Tecnologías,Tecnologías,https://www.idat.edu.pe/
Tecnologías,Administración de Base de Datos,https://www.idat.edu.pe/cursos-de-formacion-continua/administracion-de-base-de-datos
Tecnologías,Copilot para Microsoft 365,https://www.idat.edu.pe/cursos-de-formacion-continua/copilot-para-microsoft-365
Tecnologías,Data Analytics,https://www.idat.edu.pe/cursos-de-formacion-continua/data-analytics-i
Tecnologías,Data Storytelling,https://www.idat.edu.pe/cursos-de-formacion-continua/data-storytelling
Tecnologías,Diseño y Desarrollo Web,https://www.idat.edu.pe/cursos-de-formacion-continua/diseno-y-desarrollo-web
Tecnologías,Macros y Programación Visual Basic,https://www.idat.edu.pe/cursos-de-formacion-continua/macros-y-programacion-visual-basic
Tecnologías,People Analytics con Power Bi,https://www.idat.edu.pe/cursos-de-formacion-continua/people-analytics-con-power-bi
Tecnologías,Power Bi Avanzado,https://www.idat.edu.pe/cursos-de-formacion-continua/power-bi-avanzado
Tecnologías,Power Bi,https://www.idat.edu.pe/cursos-de-formacion-continua/power-bi
Tecnologías,Powers Apps y power automate,https://www.idat.edu.pe/cursos-de-formacion-continua/powers-apps-y-power-automate
Tecnologías,Python for Data Analyst,https://www.idat.edu.pe/cursos-de-formacion-continua/python-data-analyst
Tecnologías,SQL Base de Datos Relacionales,https://www.idat.edu.pe/cursos-de-formacion-continua/sql
Columna 2,Columna 2,https://www.idat.edu.pe/
Columna 2,Gestión,https://www.idat.edu.pe/
Columna 2,Asistente Contable,https://www.idat.edu.pe/cursos-de-formacion-continua/asistente-contable
Columna 2,Community Manager,https://www.idat.edu.pe/cursos-de-formacion-continua/community-manager
Columna 2,E-commerce con Dropshipping,https://www.idat.edu.pe/cursos-de-formacion-continua/comercio-electronico-con-dropshipping
Columna 2,Marketing Digital,https://www.idat.edu.pe/cursos-de-formacion-continua/marketing-digital
Columna 2,Diseño,https://www.idat.edu.pe/
Columna 2,Diseño Gráfico Digital,https://www.idat.edu.pe/cursos-de-formacion-continua/diseno-grafico-digital
Columna 2,Diseño en Autocad,https://www.idat.edu.pe/cursos-de-formacion-continua/diseno-en-autocad
Columna 2,"Diseño y Modelado con Sketchup, Vray y Photoshop",https://www.idat.edu.pe/cursos-de-formacion-continua/diseno-y-modelado-con-sketchup-vray-y-photoshop
Gestión,Gestión,https://www.idat.edu.pe/
Gestión,Asistente Contable,https://www.idat.edu.pe/cursos-de-formacion-continua/asistente-contable
Gestión,Community Manager,https://www.idat.edu.pe/cursos-de-formacion-continua/community-manager
Gestión,E-commerce con Dropshipping,https://www.idat.edu.pe/cursos-de-formacion-continua/comercio-electronico-con-dropshipping
Gestión,Marketing Digital,https://www.idat.edu.pe/cursos-de-formacion-continua/marketing-digital
Diseño,Diseño,https://www.idat.edu.pe/
Diseño,Diseño Gráfico Digital,https://www.idat.edu.pe/cursos-de-formacion-continua/diseno-grafico-digital
Diseño,Diseño en Autocad,https://www.idat.edu.pe/cursos-de-formacion-continua/diseno-en-autocad
Diseño,"Diseño y Modelado con Sketchup, Vray y Photoshop",https://www.idat.edu.pe/cursos-de-formacion-continua/diseno-y-modelado-con-sketchup-vray-y-photoshop
Examen de Certificación,Examen de Certificación,https://www.idat.edu.pe
Examen de Certificación,Excel Básico,https://www.idat.edu.pe/certificaciones/excel-basico
Examen de Certificación,Excel Intermedio,https://www.idat.edu.pe/certificaciones/excel-intermedio
Examen de Certificación,Introducción a la Ciberseguridad,https://www.idat.edu.pe/certificaciones/introduccion-la-ciberseguridad
Examen de Certificación,Power Bi Intermedio,https://www.idat.edu.pe/certificaciones/power-bi-intermedio
